,شعور الفرح - Joy,شعور الحزن – Sadness ,شعور الخوف – Fear,شعور الحب - Liking,شعور البغض - Hatred
0,طوبى لك,أبكي لأيامي الباقية.,يا لَلهول.,أشعر بالحب تجاهك.,الويل لك.
1,ما أروع الأمر!,تبكي البستان لا زهر فيه.,أخشى على نفسي.,لامس قلبي هذا الشعور.,ثكلتك أمّك.
2,الحمد لله.,اجتاح قلبي الأسى.,أخاف من الموت.,أنا مغرم بك جدًا.,أكره هذا الأمر.
3,يا لك من فتى جميل!,جدّدَتْ دمعةٌ حزني.,هربتُ خوفًا من المصائب.,قلوبنا تنبض بالحب.,لا أحبّ الأعداء.
4,تبسم الرجل.,لي قصّة دامية.,نزلت بي النازلات.,يعجز اللسان عن وصف شوقي.,بئس الرجلُ أنت.
5,بش له.,هذه قصّة حزينة.,أصابني الوهن والضَّعفُ.,عشقك يملأ كياني.,ما أسوأ مقالتك.
6,ملأ قلبي السرور.,أضناني هذا الشعور بالحزن.,يا رب.,كل لحظة معك سحر.,إني أكرهك.
7,شعرتُ بالسرور.,أتعبني ما أشعر به من الحزن.,يا الله.,لا أستطيع إخفاء حبي.,اشمأزّت نفسي منه.
8,شعرتُ بالحبور.,كفكفتُ دمعي.,لهفي عليك يا أبا محمد.,أهوى تفاصيلك الصغيرة.,جفاني الحبيب.
9,هو جذل فرح.,أرقتُ.,أرعبني ما تقول.,أنت عالمي الجميل.,سلاني حبيبي.
10,الغبطة تملأ قلبه.,أتعبني الأرق.,أنا جزِع.,لم أكن أتصور أنني سأحب بهذا القدر.,خاصمت الرجل.
11,عمرته البهجة.,فداك نفسي أيها المريض.,أجزعني ما جرى.,كل كلمة منك تذوبني.,انقبض قلبي من كلامك.
12,اطمأن قلبه.,فقدتُ أخي الحبيب.,أخافني ما جرى.,تحببني بكل لحظة.,أنت تكنّ له كلّ الضغائن.
13,يشعر بالارتياح.,قد نالني منه ضرر كبير.,أنت جبان.,قلبي ينبض لك.,بينكما خصام وكراهية.
14,استبشر الرجل بهذا الأمر.,ما هذا الأسى؟,توجّسْتُ منه خيفة.,شوقي إليك لا ينتهي.,أشعر تجاهه بالغلّ.
15,الغبطة تملأ القلب.,الأسى يعتصر قلبي,داخلني منه بعض الوجل.,أجد سعادتي فيك.,أمقت الرجل.
16,هذه لذة العيش.,أبكاني أسف للفراق.,ما هذه الجبانة يا رجل؟,أتنفس حبك.,بيني وبينه عداوة مستحكمة.
17,ضحك الرجل.,آلمني هذا الأمر.,هربت اتقاء الأسر.,أنت الأمل في حياتي.,بيننا شقاق لا يبرأ.
18,انبسطت أساريره فرحًا.,ألمني موت صاحبي.,خفت من المعركة.,لا أستطيع العيش بدونك.,يا لشناعة كلامك.
